step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
288,CASH_OUT,121529.89,C1167388394,0.0,0.0,C1252407791,498194.45,619724.34,0,0
134,CASH_IN,27862.08,C1657436947,8467.0,36329.08,C1438483988,552996.0,525133.92,0,0
138,TRANSFER,447517.82,C1616643963,0.0,0.0,C1868292922,3865978.69,4313496.51,0,0
354,CASH_OUT,189906.34,C5015728,0.0,0.0,C1369601,475644.87,665551.21,0,0
20,CASH_IN,20844.44,C917947906,10792.0,31636.44,C1831325530,0.0,0.0,0,0
183,PAYMENT,11775.79,C1771093755,90654.0,78878.21,M136355060,0.0,0.0,0,0
401,CASH_IN,28421.02,C1267880090,2643731.07,2672152.09,C462107041,123124.6,94703.58,0,0
306,CASH_IN,308432.88,C439549299,11176.0,319608.88,C1354608229,96915.84,0.0,0,0
178,PAYMENT,16319.06,C59131483,0.0,0.0,M1755007749,0.0,0.0,0,0
19,CASH_IN,78570.75,C65965529,166.0,78736.75,C2070480153,1794266.78,1715696.03,0,0
550,PAYMENT,15495.27,C1137607427,81321.0,65825.73,M447300293,0.0,0.0,0,0
277,CASH_OUT,175825.34,C966291303,25583.0,0.0,C2138697944,66256.84,242082.18,0,0
158,PAYMENT,18096.8,C821979988,39674.0,21577.2,M447406681,0.0,0.0,0,0
305,PAYMENT,19940.19,C1316237266,31289.0,11348.81,M1679307606,0.0,0.0,0,0
469,CASH_IN,215202.29,C288785256,16420.0,231622.29,C1038749785,932286.19,717083.9,0,0
250,TRANSFER,429206.57,C158543798,0.0,0.0,C1431793956,1134542.66,1607687.24,0,0
160,PAYMENT,22366.66,C857744962,0.0,0.0,M731436873,0.0,0.0,0,0
255,PAYMENT,1392.34,C1265636381,85158.0,83765.66,M548946713,0.0,0.0,0,0
179,CASH_OUT,141910.73,C1321743320,61535.0,0.0,C1134988352,79423.04,221333.77,0,0
253,TRANSFER,62940.27,C1027734799,0.0,0.0,C776228071,6516903.81,6579844.09,0,0
378,PAYMENT,4471.12,C820025783,191.0,0.0,M1366839029,0.0,0.0,0,0
305,TRANSFER,10000000.0,C998565927,50935.0,0.0,C1833076151,0.0,19850093.08,0,0
403,TRANSFER,331683.08,C268774992,0.0,0.0,C175039779,1034295.68,1365978.76,0,0
16,PAYMENT,5945.98,C2000611098,218665.28,212719.31,M1400135288,0.0,0.0,0,0
136,PAYMENT,4066.37,C815124407,159964.97,155898.61,M844940374,0.0,0.0,0,0
202,PAYMENT,52567.44,C962478285,0.0,0.0,M240250859,0.0,0.0,0,0
322,CASH_OUT,104733.33,C384262700,0.0,0.0,C128509211,119500.96,224234.29,0,0
164,CASH_OUT,182750.79,C1662804917,13255.0,0.0,C1486700324,0.0,182750.79,0,0
322,PAYMENT,8737.49,C1897423298,74508.0,65770.51,M1261255403,0.0,0.0,0,0
208,PAYMENT,751.35,C1438919451,450739.44,449988.09,M716738507,0.0,0.0,0,0
131,PAYMENT,32734.01,C1008392007,0.0,0.0,M714116932,0.0,0.0,0,0
179,PAYMENT,36957.27,C20941382,354915.61,317958.34,M1818973489,0.0,0.0,0,0
355,PAYMENT,6927.01,C308281395,25771.0,18843.99,M148636346,0.0,0.0,0,0
138,PAYMENT,1205.63,C1307425780,198997.0,197791.37,M2093673682,0.0,0.0,0,0
249,CASH_OUT,234744.11,C1436007624,0.0,0.0,C662338901,938776.39,1173520.5,0,0
687,PAYMENT,15260.66,C1844017112,0.0,0.0,M1515525040,0.0,0.0,0,0
642,PAYMENT,7249.17,C1505014774,35304.0,28054.83,M620052926,0.0,0.0,0,0
37,CASH_IN,98535.43,C498354044,243584.0,342119.43,C595896606,181154.52,105153.75,0,0
17,CASH_IN,316801.05,C1525229663,66606.0,383407.05,C338382927,1229318.75,912517.71,0,0
203,CASH_IN,16597.35,C1930726881,20526.0,37123.35,C211356687,0.0,0.0,0,0
